Day,Room,StartTIme,EndTime,Course,Occupied
Monday,C-301,8.3,9.5,Cal-I (DS-N),1
Monday,C-302,8.3,9.5,AP (CySec-T),1
Monday,C-303,8.3,9.5,NONE,0
Monday,C-304,8.3,9.5,Pak Studies (AI-K),1
Monday,C-305,8.3,9.5,NONE,0
Monday,C-307,8.3,9.5,NONE,0
Monday,C-308,8.3,9.5,Data Stream WH,1
Monday,C-309,8.3,9.5,Pak Studies (SE-Q),1
Monday,C-310,8.3,9.5,AP(SE-R),1
Monday,C-311,8.3,9.5,NONE,0
Monday,C-401,8.3,9.5,Discrete (CS-C),1
Monday,C-402,8.3,9.5,LA (CS-G),1
Monday,C-403,8.3,9.5,Data St(CS-A),1
Monday,C-404,8.3,9.5,NONE,0
Monday,C-405,8.3,9.5,NONE,0
Monday,C-408,8.3,9.5,TBW (A),1
Monday,C-409,8.3,9.5,Pak Studies (SE-V),1
Monday,B-227,8.3,9.5,NONE,0
Tuesday,B-229,8.3,10.15,Eng Comp (CS-F) 08:30-10:15,1
Tuesday,B-230,8.3,10.15,Eng Comp (CS-D) 08:30-10:15,1
Monday,A-301,8.3,9.5,Discrete (CySec-M),1
Monday,A-302,9,10.2,Automata(B),1
Monday,A-303,9,10.2,Eng Comp (D),1
Monday,A-305,8.3,9.5,AI (A),1
Monday,A-310,8.3,9.5,HCI (C),1
Monday,A-311,8.3,9.5,AI (E),1
Monday,A-314,8.3,9.5,Advanced SE (SE),1
Monday,A-315,8.3,9.5,COAL (CS-E),1
Monday,Online,8.3,9.5,Natural Language Processing(DS-A),1
Monday,Online,8.3,9.5,NONE,0
Monday,Margala I,8.3,11.15,PF Lab (CS-A),1
Monday,Margala III,8.3,11.15,NONE,0
Monday,Margala IV,8.3,11.15,Eng Comp Lab(CS-E),1
Monday,Rawal I,8.3,11.15,Data St Lab(CS-F),1
Monday,Rawal III,8.3,11.15,IICT(CS-C),1
Monday,Rawal IV,8.3,11.15,Data St Lab(CS-J),1
Monday,Karakoram,8.3,11.15,Comp Networks Lab©,1
Monday,CALL-I,8.3,11.15,Eng Comp Lab(CS-B),1
Monday,CALL-II,8.3,11.15,NONE,0
Monday,DLD (C-Blk),8.3,11.15,DLD Lab (AI-K1),1
Monday,DLD (B-Blk),8.3,11.15,DLD Lab (AI-K2),1
Tuesday,C-301,8.3,9.5,Data St(AI-J),1
Tuesday,C-302,8.3,9.5,Artificial Intelligence (AI-K),1
Tuesday,C-303,8.3,9.5,NONE,0
Tuesday,C-304,8.3,9.5,LA (CS-D),1
Tuesday,C-305,8.3,9.5,Adv. AI(AI),1
Tuesday,C-307,8.3,9.5,AI(B),1
Tuesday,C-308,8.3,9.5,NONE,0
Tuesday,C-309,8.3,9.5,HCI(D),1
Tuesday,C-310,8.3,9.5,LA (CySec-T),1
Tuesday,C-311,8.3,9.5,NONE,0
Tuesday,C-401,8.3,9.5,Data St(CS-B),1
Tuesday,C-402,8.3,9.5,COAL(CS-F),1
Tuesday,C-403,8.3,9.5,NONE,0
Tuesday,C-404,8.3,9.5,Comp Networks ( C),1
Tuesday,C-405,8.3,9.5,NONE,0
Tuesday,C-408,8.3,9.5,Pyschology(DS-N),1
Tuesday,C-409,8.3,9.5,NONE,0
Tuesday,B-227,8.3,9.5,NONE,0
Tuesday,B-229,8.3,9.5,NONE,0
Tuesday,B-230,8.3,9.5,NONE,0
Tuesday,A-301,8.3,9.5,S/w Design Analysis ( E),1
Tuesday,A-302,8.3,9.5,NONE,0
Tuesday,A-303,8.3,9.5,NONE,0
Tuesday,A-305,8.3,9.5,NONE,0
Tuesday,A-310,8.3,9.5,NONE,0
Tuesday,A-311,8.3,9.5,NONE,0
Tuesday,A-314,8.3,9.5,NONE,0
Tuesday,A-315,8.3,9.5,NONE,0
Tuesday,Online,8.3,9.5,Stat & Math (DS-B),1
Tuesday,Online,8.3,9.5,Applied Prog (DS-A),1
Tuesday,Margala I,8.3,11.15,COAL Lab (CS-A),1
Tuesday,Margala III,8.3,11.15,IICT (MC-M1),1
Tuesday,Margala IV,8.3,11.15,Data St Lab (CS-C),1
Tuesday,Rawal I,8.3,11.15,IICT (AI-K),1
Tuesday,Rawal III,8.3,11.15,NONE,0
Tuesday,Rawal IV,8.3,11.15,PF Lab (MC-M2),1
Tuesday,Karakoram,8.3,11.15,Comp Networks Lab (B) ,1
Tuesday,CALL-I,8.3,11.15,NONE,0
Tuesday,CALL-II,8.3,11.15,NONE,0
Tuesday,DLD (C-Blk),8.3,11.15,NONE,0
Wednesday,C-301,8.3,9.5,Cal-I (DS-N),1
Wednesday,C-302,8.3,9.5,AP (CySec-T),1
Wednesday,C-303,8.3,9.5,NONE,0
Wednesday,C-304,8.3,9.5,PF(AI-K),1
Wednesday,C-305,8.3,9.5,Discrete (CS-C),1
Wednesday,C-307,8.3,9.5,COAL (CS-E),1
Wednesday,C-308,8.3,9.5,NONE,0
Wednesday,C-309,8.3,9.5,Pak Studies (SE-Q),1
Wednesday,C-310,8.3,9.5,AP (SE-R),1
Wednesday,C-311,8.3,9.5,Islamic Studies (CS-Y),1
Wednesday,C-401,8.3,9.5,NONE,0
Wednesday,C-402,8.3,9.5,Pak Studies (SE-V),1
